,date,quote,explanation
0,2017-01-21,I wasn't a fan of Iraq. I didn't want to go into Iraq.Ó(He was for an invasion before he was against it.),(He was for an invasion before he was against it.)
1,2017-01-22,A reporter for Time magazine — and I have been on their cover 14 or 15 times. I think we have the all-time record in the history of Time magazine.Ó(Trump was on the cover 11 times and Nixon appeared 55 times).,(Trump was on the cover 11 times and Nixon appeared 55 times).
2,2017-01-23,Between 3 million and 5 million illegal votes caused me to lose the popular vote.Ó(There's no evidence of illegal voting.),(There's no evidence of illegal voting.)
3,2017-01-25,"Now, the audience was the biggest ever. But this crowd was massive. Look how far back it goes. This crowd was massive.Ó(Official aerial photos show Obama's 2009 inauguration was much more heavily attended.)",(Official aerial photos show Obama's 2009 inauguration was much more heavily attended.)
4,2017-01-25,Take a look at the Pew reports (which show voter fraud.)Ó(The report never mentioned voter fraud.),(The report never mentioned voter fraud.)
5,2017-01-25,"You had millions of people that now aren't insured anymore.Ó(The real number is less than 1 million, according to the Urban Institute.)","(The real number is less than 1 million, according to the Urban Institute.)"
6,2017-01-25,"So, look, when President Obama was there two weeks ago making a speech, very nice speech. Two people were shot and killed during his speech. You can't have that.Ó(There were no gun homicide victims in Chicago that day.",(There were no gun homicide victims in Chicago that day.
7,2017-01-26,We've taken in tens of thousands of people. We know nothing about them. They can say they vet them. They didn't vet them. They have no papers. How can you vet somebody when you don't know anything about them and you have no papers? How do you vet them? You can't.Ó(Vetting lasts up to two years.),(Vetting lasts up to two years.)
8,2017-01-26,"I cut off hundreds of millions of dollars off one particular plane, hundreds of millions of dollars in a short period of time. It wasn't like I spent, like, weeks, hours, less than hours, and many, many hundreds of millions of dollars. And the plane's going to be better.Ó(Most of the cuts were already planned.)",(Most of the cuts were already planned.)
9,2017-01-28,The coverage about me in the @nytimes and the @washingtonpost has been so false and angry that the Times actually apologized to its dwindling subscribers and readers.Ó(It never apologized.),(It never apologized.)
10,2017-01-29,"The Cuban-Americans, I got 84 percent of that vote.Ó(There is no support for this.)",(There is no support for this.)
11,2017-01-30,"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage.Ó(At least 746 people were detained and processed, and the Delta outage happened two days later.)","(At least 746 people were detained and processed, and the Delta outage happened two days later.)"
12,2017-02-03,"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!Ó(There is no evidence of paid protesters.)",(There is no evidence of paid protesters.)
13,2017-02-04,"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!Ó(It never apologized.)",(It never apologized.)
14,2017-02-05,"We had 109 people out of hundreds of thousands of travelers and all we did was vet those people very, very carefully.Ó(About 60,000 people were affected.)","(About 60,000 people were affected.)"
15,2017-02-06,I have already saved more than $700 million when I got involved in the negotiation on the F-35.Ó(Much of the price drop was projected before Trump took office.),(Much of the price drop was projected before Trump took office.)
